model,split,roc_auc
m3,A,0.6903291675609253
m3,B,0.5
m3,C,0.6043667005968095
cnn,A,0.7218982912214438
cnn,B,0.6864082846271313
cnn,C,0.62595871663517
bilstm,A,0.6516754078954257
bilstm,B,0.6501824328505357
bilstm,C,0.5739820709211193
cnn_bilstm,A,0.690477486699027
cnn_bilstm,B,0.6762687591690779
cnn_bilstm,C,0.6097224360226601
ensemble,A,0.6820039687747284
ensemble,B,0.6709598655273357
ensemble,C,0.6062424671705005
dnabert2,A,0.9136645922590639
dnabert2,B,0.6739668968506658
dnabert2,C,0.7772395472206672
nt,A,0.9343105042214976
nt,B,0.9015744330571009
nt,C,0.851860114287341
